genre_primary,budget_band,decade,language_group,vote_average,franchise,actor_success_rate_train,director_success_rate_train,actor_appearances_log1p,director_appearances_log1p,year,success_label
Unknown,Low,2020s,English,6.992,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,6.197,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,7.336,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,6.804,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Mid,2020s,English,7.453,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,English,6.6,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,Non-English,7.641,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,6.34,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,6.598,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,English,7.186,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,1
Unknown,Low,2020s,Non-English,6.265,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,Non-English,6.638,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
Unknown,Low,2020s,Non-English,7.1,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2021,0
